X,Y
0,488.7708333333343
1,495.1875000000009
2,501.60416666666754
3,508.0208333333341
4,514.4375000000007
5,520.8541666666673
6,527.2708333333339
7,533.6875000000006
8,540.1041666666672
9,546.5208333333338
10,552.9375000000005
11,559.3541666666671
12,565.7708333333334
13,572.1875
14,577.6041666666666
15,582.2708333333333
16,585.9166666666666
17,589.2083333333331
18,591.7916666666665
19,593.4999999999999
20,595.0208333333331
21,596.4374999999999
22,597.6458333333331
23,598.5625
24,599.4791666666665
25,600.25
26,601.2708333333334
27,602.3125000000001
28,602.7083333333334
29,602.1041666666666
30,599.3333333333334
31,594.1458333333334
32,587.6666666666666
33,580.9791666666666
34,574.8541666666667
35,569.3958333333333
36,564.9375
37,561.7708333333333
38,559.4583333333334
39,557.875
40,557.0416666666667
41,556.6666666666666
42,556.9375
43,557.6458333333334
44,558.6666666666666
45,559.7499999999999
46,560.6041666666666
47,561.5208333333333
48,561.8958333333333
49,561.8541666666667
50,561.9166666666667
51,562.4791666666666
52,564.0208333333334
53,566.5625
54,571.0208333333334
55,577.5625000000001
56,585.2083333333334
57,593.0416666666667
58,599.9791666666666
59,605.5833333333333
60,609.7708333333333
61,612.6875
62,614.625
63,615.8541666666666
64,617.0416666666666
65,618.3958333333334
66,619.6874999999999
67,620.8125
68,621.3958333333333
69,621.7291666666666
70,622.0
71,621.8749999999999
72,621.5416666666666
73,621.375
74,621.5416666666666
75,622.0208333333334
76,622.3541666666666
77,622.3124999999999
78,621.2708333333331
79,618.9791666666666
80,616.1041666666666
81,612.9166666666667
82,609.5624999999999
83,605.9374999999999
84,601.4791666666665
85,596.3333333333331
86,590.9791666666665
87,585.5625
88,580.8333333333333
89,576.9583333333334
90,573.4166666666666
91,570.0208333333334
92,566.9166666666666
93,564.1041666666666
94,561.6041666666666
95,559.1875
96,556.7291666666666
97,554.1666666666667
98,551.0208333333334
99,546.5208333333334
100,540.1458333333334
101,531.9583333333334
102,522.9791666666666
103,514.1041666666666
104,505.20833333333326
105,496.45833333333326
106,488.4791666666666
107,481.87499999999994
108,476.9583333333333
109,473.87499999999994
110,472.54166666666663
111,472.1458333333333
112,471.375
113,469.91666666666663
114,468.3958333333333
115,467.16666666666663
116,466.10416666666663
117,465.12499999999994
118,464.4166666666667
119,464.2083333333333
120,464.85416666666663
121,465.8958333333333
122,466.4375
123,466.9583333333333
124,468.85416666666663
125,472.8541666666667
126,478.85416666666663
127,486.4791666666667
128,495.1458333333333
129,504.41666666666663
130,513.7916666666666
131,522.8333333333333
132,531.9166666666666
133,540.5208333333334
134,547.8749999999999
135,554.125
136,559.3124999999999
137,563.5833333333333
138,567.0416666666666
139,570.0
140,572.6875
141,575.1458333333334
142,577.2291666666667
143,579.0416666666666
144,580.7499999999999
145,582.3749999999999
146,584.6666666666666
147,587.9583333333333
148,591.9166666666666
149,596.2291666666666
150,600.6249999999999
151,604.8333333333331
152,608.7499999999999
153,612.2083333333333
154,615.1874999999999
155,617.7499999999999
156,619.6666666666665
157,621.4166666666666
158,623.1458333333333
159,624.7083333333333
160,626.1249999999999
161,627.2499999999999
162,628.2708333333331
163,629.2291666666665
164,630.1041666666666
165,630.7708333333333
166,631.375
167,631.9791666666665
168,632.4166666666667
169,632.9374999999999
170,633.5208333333334
171,634.3125
172,635.1874999999999
173,636.0208333333334
174,636.7083333333334
175,637.3333333333334
176,637.75
177,637.7708333333334
178,637.2291666666666
179,636.0208333333334
180,634.5625
181,632.9166666666666
182,631.3541666666666
183,630.0208333333333
184,629.0208333333334
185,628.4166666666666
186,628.0208333333334
187,627.6249999999999
188,627.1666666666666
189,626.8749999999999
190,626.7291666666666
191,626.8125
192,626.8958333333334
193,626.8958333333334
194,626.9166666666666
195,626.5208333333334
196,626.0416666666667
197,625.75
198,625.6041666666666
199,625.1875
200,624.7083333333331
201,624.3749999999999
202,624.0208333333333
203,623.8541666666666
204,623.7291666666665
205,623.7499999999999
206,623.9166666666665
207,624.2083333333333
208,624.4583333333333
209,624.7916666666665
210,625.1458333333331
211,625.3958333333331
212,625.8125
213,626.1666666666666
214,626.3124999999999
215,626.0833333333333
216,625.9375
217,626.0416666666666
218,626.3541666666667
219,626.9583333333334
220,627.5416666666666
221,628.0208333333334
222,628.3958333333334
223,628.9374999999999
224,629.5625
225,630.2708333333334
226,631.3124999999999
227,632.5833333333333
228,634.0625
229,635.3749999999999
230,636.3749999999999
231,637.3333333333331
232,638.4374999999999
233,639.8749999999999
234,641.3124999999999
235,642.625
236,643.8125
237,644.8541666666666
238,645.7916666666666
239,646.4166666666666
240,646.4583333333334
241,646.2083333333334
242,646.4583333333334
243,647.4375000000001
244,648.9166666666667
245,650.4583333333333
246,651.9375
247,653.3541666666666
248,654.5833333333334
249,655.8749999999999
250,657.2916666666666
251,658.7916666666666
252,660.2083333333333
253,661.5208333333333
254,662.7708333333331
255,663.8749999999999
256,664.9791666666666
257,665.7291666666666
258,666.4999999999999
259,667.5416666666666
260,668.4375
261,669.2291666666666
